woman,age,education,work,metropolitan_area,non_white,urban,work_permit,poverty
0,37,3,4,0,1,1,0,1
0,28,4,10,0,1,1,2,1
0,24,7,4,0,1,1,2,0
0,36,7,8,1,1,1,0,0
1,32,7,4,1,1,1,1,0
1,42,5,11,1,1,1,0,1
1,41,5,9,1,1,1,2,0
0,50,2,1,1,0,1,0,1
0,23,5,4,1,1,1,1,1
0,39,5,4,1,1,1,1,0
1,53,2,11,1,1,1,1,0
1,28,6,9,1,1,1,2,0
0,26,5,8,1,1,1,2,0
0,24,4,1,0,1,0,0,0
0,21,2,1,0,1,0,1,1
0,57,2,9,0,1,0,2,0
0,40,2,1,0,1,0,1,0
0,32,7,7,1,1,1,2,0
1,23,5,4,1,1,1,1,0
1,48,7,8,1,0,1,2,0
0,48,7,4,1,1,1,0,0
1,47,5,4,1,1,1,2,0
1,62,5,8,1,1,1,0,0
0,39,5,10,1,1,1,2,0
0,27,5,4,0,1,0,1,1
0,36,2,1,0,1,0,2,0
0,38,5,5,0,0,1,1,0
0,55,2,1,0,0,1,2,0
1,50,2,1,0,1,1,2,0
0,21,5,4,0,0,1,1,0
0,50,2,3,0,1,1,2,0
1,32,5,9,0,0,1,0,0
0,37,2,1,0,1,0,2,0
0,40,2,1,0,1,0,1,1
0,35,5,8,0,1,0,0,0
0,53,2,1,0,0,0,1,0
0,45,4,3,0,1,1,2,1
1,54,5,8,0,1,1,2,0
0,27,7,9,0,1,1,0,0
0,42,5,2,0,1,1,1,1
0,46,2,1,0,0,1,2,1
1,45,5,10,1,1,1,2,0
0,25,5,10,1,1,1,0,0
1,23,5,10,1,1,1,2,0
0,39,3,2,1,1,1,2,0
1,29,5,4,1,1,1,1,0
0,31,5,4,1,1,1,0,0
1,49,7,9,1,1,1,2,0
0,37,7,5,1,1,1,2,0
1,53,7,9,1,1,1,2,0
0,62,2,8,1,1,1,2,0
0,37,5,4,1,1,1,1,1
1,40,5,11,1,1,1,0,0
0,59,3,5,1,1,1,2,0
1,23,7,4,1,1,1,2,1
1,49,4,8,1,1,1,2,0
0,51,5,8,1,1,1,2,0
0,22,5,4,1,1,1,1,0
0,35,5,4,1,1,1,1,0
0,27,5,7,1,1,1,1,1
0,31,5,7,1,1,1,1,0
1,30,5,7,1,1,1,1,0
1,50,7,8,1,1,1,2,0
0,44,7,9,1,1,1,2,0
0,50,7,8,1,0,1,2,0
0,27,5,4,1,1,1,1,0
1,43,2,4,1,1,1,1,0
0,42,7,8,1,1,1,2,0
1,36,7,9,1,0,1,2,0
0,22,4,7,1,1,1,1,0
0,38,7,8,1,1,1,2,0
1,40,5,4,1,0,1,1,1
0,19,5,9,1,1,1,1,1
0,23,3,4,1,1,1,1,0
1,18,3,9,1,1,1,0,0
1,41,5,4,1,1,1,1,0
1,19,5,4,1,1,1,1,0
0,52,2,8,1,1,1,2,0
1,51,5,9,1,1,1,2,0
1,35,5,4,1,1,1,0,1
0,19,3,4,1,1,1,0,1
0,29,5,7,1,1,1,1,0
1,42,2,7,1,1,1,1,1
1,25,7,9,1,0,1,2,0
1,40,7,9,1,1,1,2,0
0,38,3,3,1,1,1,2,1
0,38,4,3,1,1,1,2,0
0,23,3,4,1,1,1,1,1
0,42,7,8,1,1,1,2,0
1,42,7,9,1,1,1,2,0
1,39,7,8,1,1,1,2,0
0,19,5,7,1,1,1,1,0
0,27,7,7,1,1,1,0,0
0,21,6,7,1,1,1,1,0
1,33,7,4,1,1,1,1,0
1,32,7,4,1,1,1,1,0
1,36,2,11,1,1,1,0,1
0,47,5,4,1,1,1,2,0
1,42,3,4,1,1,1,2,1
1,40,2,7,1,1,1,1,1
1,45,2,7,1,1,1,1,1
0,35,5,2,1,1,1,2,0
1,40,5,7,1,1,1,1,0
1,26,7,9,1,0,1,0,1
1,49,3,4,1,1,1,2,1
1,35,5,4,1,1,1,1,0
0,39,2,7,1,1,1,0,0
0,18,5,4,1,1,1,1,0
0,47,2,4,1,1,1,2,0
1,45,6,2,1,1,1,2,0
0,40,7,9,1,1,1,2,0
0,51,2,1,0,1,1,2,1
0,45,2,1,0,1,1,2,1
0,50,2,1,0,1,1,2,1
0,26,2,1,0,1,1,2,1
0,43,2,1,0,1,1,2,1
0,55,7,10,1,1,1,2,0
0,36,5,9,1,1,1,1,0
1,47,3,4,1,1,1,2,1
0,24,7,2,1,1,1,1,0
0,41,3,4,1,1,1,2,0
0,21,5,4,1,1,1,1,0
1,47,5,9,1,1,1,1,0
0,44,5,3,1,1,1,2,0
0,24,6,5,1,0,1,2,0
0,40,3,1,0,1,0,2,1
0,30,5,5,1,1,1,1,0
0,49,2,3,1,1,1,2,0
0,22,5,2,1,1,1,1,0
1,37,7,2,1,1,1,1,0
0,39,5,4,1,1,1,1,0
1,39,5,6,1,1,1,2,0
0,33,4,4,1,1,1,2,0
1,32,5,7,1,1,1,2,0
0,33,3,5,1,1,1,0,1
1,33,5,10,1,1,1,2,1
0,21,5,2,1,0,1,1,0
1,38,5,4,1,0,1,0,1
0,54,7,2,1,0,1,1,0
1,47,1,8,1,1,1,0,0
0,55,2,5,1,1,1,2,0
0,41,5,8,1,1,1,2,1
1,30,5,1,1,1,1,2,1
1,46,2,9,1,1,1,1,0
1,40,2,6,1,1,1,0,1
0,44,2,10,1,1,1,0,1
0,22,5,9,1,1,1,0,1
1,37,5,5,1,1,1,0,0
0,37,5,5,1,1,1,0,0
0,64,2,4,1,1,1,1,0
0,51,3,2,1,1,1,1,0
1,21,3,11,1,1,1,0,1
1,56,2,11,1,1,1,1,1
0,52,2,1,1,1,1,2,1
0,26,4,1,0,1,0,2,1
0,46,2,1,0,1,0,2,1
0,39,3,1,0,1,0,2,0
0,43,2,1,0,1,0,2,1
0,59,2,1,0,1,0,2,1
0,63,2,1,0,1,0,2,1
0,27,5,1,0,1,0,2,1
0,48,2,1,0,1,0,2,1
0,52,2,1,0,1,0,2,1
0,64,5,4,1,0,1,2,0
1,33,7,7,1,1,1,2,0
0,45,7,2,1,1,1,1,0
0,30,7,7,1,1,1,0,0
1,54,5,7,1,1,1,2,0
1,52,5,11,1,1,1,0,0
0,57,7,9,1,1,1,2,0
1,30,7,4,1,1,1,1,1
1,46,5,10,1,1,1,2,0
0,25,5,9,1,1,1,2,0
0,33,7,2,1,1,1,1,0
1,34,5,2,1,0,1,1,0
1,44,5,7,1,1,1,1,0
1,32,2,7,1,1,1,1,1
0,18,3,10,1,1,1,0,1
0,26,5,4,1,1,1,1,1
1,26,5,2,1,1,1,1,1
1,51,7,9,1,0,1,0,0
1,29,5,9,1,1,1,0,1
0,33,2,5,1,1,1,2,1
1,54,7,9,1,1,1,2,0
0,15,3,4,1,1,1,1,0
1,48,7,8,1,0,1,2,0
0,44,7,4,1,0,1,1,0
0,47,7,9,1,0,1,2,0
0,59,5,3,1,1,1,0,0
1,43,2,2,0,1,1,2,1
0,24,5,4,0,1,1,0,1
1,51,2,11,0,1,1,0,1
0,53,2,5,0,1,1,2,1
1,40,7,8,0,1,1,0,1
1,44,5,9,0,1,1,2,0
1,43,2,10,0,1,1,0,1
0,27,5,4,0,1,1,2,1
0,56,2,4,0,1,1,2,1
1,22,7,9,0,1,1,2,1
0,67,4,8,0,1,1,2,0
1,34,4,4,0,1,1,2,0
0,34,4,4,0,1,1,2,1
1,41,5,4,0,1,1,2,0
0,43,5,4,0,1,1,1,0
0,47,5,2,0,1,1,2,0
1,20,5,2,0,1,1,1,0
0,41,2,6,0,1,1,2,1
0,48,7,9,0,1,1,0,0
1,61,7,9,1,1,1,2,0
1,61,7,9,0,1,1,2,0
0,67,2,8,0,1,1,2,0
0,33,2,1,0,1,1,2,1
1,62,5,9,0,1,1,2,1
0,40,2,5,0,1,1,2,1
0,62,1,5,1,1,1,2,1
1,55,7,8,1,0,1,2,0
1,35,5,4,1,1,1,2,0
1,44,2,11,1,1,1,0,1
1,48,5,10,1,1,1,1,0
0,22,5,2,1,1,1,1,0
0,60,5,10,1,1,1,2,0
1,43,7,4,1,0,1,1,0
0,57,2,1,0,1,0,2,1
0,39,3,1,0,1,0,2,1
1,41,7,9,0,1,0,0,0
0,33,5,8,0,1,0,2,0
0,49,2,1,0,1,0,2,1
0,47,5,1,0,1,0,2,1
1,44,5,11,1,1,1,0,0
0,18,5,4,1,1,1,1,0
1,51,2,11,1,1,1,0,0
0,51,2,3,1,1,1,1,0
0,34,5,2,1,1,1,1,0
1,25,6,7,1,1,1,1,0
0,21,5,8,1,1,1,2,0
0,28,5,2,1,1,1,1,1
0,36,2,1,0,1,0,0,1
